Geography,Geographic Area Name,SNAP
42003010301,"Census Tract 103.01, Allegheny County, Pennsylvania",0
42003010302,"Census Tract 103.02, Allegheny County, Pennsylvania",91
42003020100,"Census Tract 201, Allegheny County, Pennsylvania",92
42003020300,"Census Tract 203, Allegheny County, Pennsylvania",0
42003030500,"Census Tract 305, Allegheny County, Pennsylvania",424
42003040200,"Census Tract 402, Allegheny County, Pennsylvania",111
42003040400,"Census Tract 404, Allegheny County, Pennsylvania",0
42003040500,"Census Tract 405, Allegheny County, Pennsylvania",63
42003040600,"Census Tract 406, Allegheny County, Pennsylvania",37
42003040900,"Census Tract 409, Allegheny County, Pennsylvania",140
42003050100,"Census Tract 501, Allegheny County, Pennsylvania",438
42003050600,"Census Tract 506, Allegheny County, Pennsylvania",195
42003050900,"Census Tract 509, Allegheny County, Pennsylvania",363
42003051000,"Census Tract 510, Allegheny County, Pennsylvania",507
42003051100,"Census Tract 511, Allegheny County, Pennsylvania",130
42003060300,"Census Tract 603, Allegheny County, Pennsylvania",81
42003060500,"Census Tract 605, Allegheny County, Pennsylvania",112
42003070300,"Census Tract 703, Allegheny County, Pennsylvania",36
42003070500,"Census Tract 705, Allegheny County, Pennsylvania",8
42003070600,"Census Tract 706, Allegheny County, Pennsylvania",0
42003070800,"Census Tract 708, Allegheny County, Pennsylvania",30
42003070900,"Census Tract 709, Allegheny County, Pennsylvania",50
42003080200,"Census Tract 802, Allegheny County, Pennsylvania",74
42003080400,"Census Tract 804, Allegheny County, Pennsylvania",82
42003080600,"Census Tract 806, Allegheny County, Pennsylvania",19
42003080700,"Census Tract 807, Allegheny County, Pennsylvania",156
42003080900,"Census Tract 809, Allegheny County, Pennsylvania",90
42003090100,"Census Tract 901, Allegheny County, Pennsylvania",86
42003090200,"Census Tract 902, Allegheny County, Pennsylvania",89
42003090300,"Census Tract 903, Allegheny County, Pennsylvania",108
42003100500,"Census Tract 1005, Allegheny County, Pennsylvania",159
42003101100,"Census Tract 1011, Allegheny County, Pennsylvania",151
42003101400,"Census Tract 1014, Allegheny County, Pennsylvania",232
42003101800,"Census Tract 1018, Allegheny County, Pennsylvania",114
42003101900,"Census Tract 1019, Allegheny County, Pennsylvania",274
42003110200,"Census Tract 1102, Allegheny County, Pennsylvania",158
42003110600,"Census Tract 1106, Allegheny County, Pennsylvania",46
42003111300,"Census Tract 1113, Allegheny County, Pennsylvania",227
42003111400,"Census Tract 1114, Allegheny County, Pennsylvania",178
42003111500,"Census Tract 1115, Allegheny County, Pennsylvania",577
42003120300,"Census Tract 1203, Allegheny County, Pennsylvania",224
42003120900,"Census Tract 1209, Allegheny County, Pennsylvania",247
42003130200,"Census Tract 1302, Allegheny County, Pennsylvania",151
42003130600,"Census Tract 1306, Allegheny County, Pennsylvania",788
42003130700,"Census Tract 1307, Allegheny County, Pennsylvania",591
42003130800,"Census Tract 1308, Allegheny County, Pennsylvania",568
42003140100,"Census Tract 1401, Allegheny County, Pennsylvania",0
42003140200,"Census Tract 1402, Allegheny County, Pennsylvania",54
42003140300,"Census Tract 1403, Allegheny County, Pennsylvania",26
42003140400,"Census Tract 1404, Allegheny County, Pennsylvania",0
42003140500,"Census Tract 1405, Allegheny County, Pennsylvania",113
42003140800,"Census Tract 1408, Allegheny County, Pennsylvania",155
42003141100,"Census Tract 1411, Allegheny County, Pennsylvania",21
42003141200,"Census Tract 1412, Allegheny County, Pennsylvania",51
42003141300,"Census Tract 1413, Allegheny County, Pennsylvania",119
42003141400,"Census Tract 1414, Allegheny County, Pennsylvania",227
42003151600,"Census Tract 1516, Allegheny County, Pennsylvania",143
42003151700,"Census Tract 1517, Allegheny County, Pennsylvania",432
42003160800,"Census Tract 1608, Allegheny County, Pennsylvania",317
42003160900,"Census Tract 1609, Allegheny County, Pennsylvania",291
42003161000,"Census Tract 1610, Allegheny County, Pennsylvania",481
42003170200,"Census Tract 1702, Allegheny County, Pennsylvania",100
42003170600,"Census Tract 1706, Allegheny County, Pennsylvania",87
42003180300,"Census Tract 1803, Allegheny County, Pennsylvania",365
42003180700,"Census Tract 1807, Allegheny County, Pennsylvania",136
42003190300,"Census Tract 1903, Allegheny County, Pennsylvania",52
42003191100,"Census Tract 1911, Allegheny County, Pennsylvania",80
42003191400,"Census Tract 1914, Allegheny County, Pennsylvania",194
42003191500,"Census Tract 1915, Allegheny County, Pennsylvania",136
42003191600,"Census Tract 1916, Allegheny County, Pennsylvania",179
42003191700,"Census Tract 1917, Allegheny County, Pennsylvania",220
42003191800,"Census Tract 1918, Allegheny County, Pennsylvania",352
42003191900,"Census Tract 1919, Allegheny County, Pennsylvania",124
42003192000,"Census Tract 1920, Allegheny County, Pennsylvania",174
42003202200,"Census Tract 2022, Allegheny County, Pennsylvania",268
42003202300,"Census Tract 2023, Allegheny County, Pennsylvania",67
42003241300,"Census Tract 2413, Allegheny County, Pennsylvania",176
42003250900,"Census Tract 2509, Allegheny County, Pennsylvania",271
42003260200,"Census Tract 2602, Allegheny County, Pennsylvania",196
42003260700,"Census Tract 2607, Allegheny County, Pennsylvania",72
42003261300,"Census Tract 2613, Allegheny County, Pennsylvania",452
42003261400,"Census Tract 2614, Allegheny County, Pennsylvania",182
42003261500,"Census Tract 2615, Allegheny County, Pennsylvania",314
42003262000,"Census Tract 2620, Allegheny County, Pennsylvania",326
42003270100,"Census Tract 2701, Allegheny County, Pennsylvania",122
42003270300,"Census Tract 2703, Allegheny County, Pennsylvania",330
42003270800,"Census Tract 2708, Allegheny County, Pennsylvania",178
42003271600,"Census Tract 2716, Allegheny County, Pennsylvania",624
42003281400,"Census Tract 2814, Allegheny County, Pennsylvania",365
42003281500,"Census Tract 2815, Allegheny County, Pennsylvania",136
42003290100,"Census Tract 2901, Allegheny County, Pennsylvania",190
42003290200,"Census Tract 2902, Allegheny County, Pennsylvania",530
42003290400,"Census Tract 2904, Allegheny County, Pennsylvania",378
42003300100,"Census Tract 3001, Allegheny County, Pennsylvania",489
42003310200,"Census Tract 3102, Allegheny County, Pennsylvania",127
42003320400,"Census Tract 3204, Allegheny County, Pennsylvania",106
42003320600,"Census Tract 3206, Allegheny County, Pennsylvania",61
42003320700,"Census Tract 3207, Allegheny County, Pennsylvania",93
42003401100,"Census Tract 4011, Allegheny County, Pennsylvania",140
42003401200,"Census Tract 4012, Allegheny County, Pennsylvania",448
42003401300,"Census Tract 4013, Allegheny County, Pennsylvania",133
42003402000,"Census Tract 4020, Allegheny County, Pennsylvania",343
42003403500,"Census Tract 4035, Allegheny County, Pennsylvania",451
42003404000,"Census Tract 4040, Allegheny County, Pennsylvania",79
42003405000,"Census Tract 4050, Allegheny County, Pennsylvania",21
42003406000,"Census Tract 4060, Allegheny County, Pennsylvania",90
42003407001,"Census Tract 4070.01, Allegheny County, Pennsylvania",73
42003407002,"Census Tract 4070.02, Allegheny County, Pennsylvania",181
42003408001,"Census Tract 4080.01, Allegheny County, Pennsylvania",47
42003408002,"Census Tract 4080.02, Allegheny County, Pennsylvania",38
42003409001,"Census Tract 4090.01, Allegheny County, Pennsylvania",0
42003409002,"Census Tract 4090.02, Allegheny County, Pennsylvania",79
42003410000,"Census Tract 4100, Allegheny County, Pennsylvania",4
42003411001,"Census Tract 4110.01, Allegheny County, Pennsylvania",13
42003411002,"Census Tract 4110.02, Allegheny County, Pennsylvania",28
42003412002,"Census Tract 4120.02, Allegheny County, Pennsylvania",8
42003412003,"Census Tract 4120.03, Allegheny County, Pennsylvania",40
42003412004,"Census Tract 4120.04, Allegheny County, Pennsylvania",0
42003413100,"Census Tract 4131, Allegheny County, Pennsylvania",160
42003413201,"Census Tract 4132.01, Allegheny County, Pennsylvania",0
42003413202,"Census Tract 4132.02, Allegheny County, Pennsylvania",50
42003413300,"Census Tract 4133, Allegheny County, Pennsylvania",53
42003413400,"Census Tract 4134, Allegheny County, Pennsylvania",34
42003413500,"Census Tract 4135, Allegheny County, Pennsylvania",61
42003414101,"Census Tract 4141.01, Allegheny County, Pennsylvania",49
42003414102,"Census Tract 4141.02, Allegheny County, Pennsylvania",147
42003414200,"Census Tract 4142, Allegheny County, Pennsylvania",132
42003415001,"Census Tract 4150.01, Allegheny County, Pennsylvania",107
42003415002,"Census Tract 4150.02, Allegheny County, Pennsylvania",20
42003416000,"Census Tract 4160, Allegheny County, Pennsylvania",67
42003417100,"Census Tract 4171, Allegheny County, Pennsylvania",73
42003417200,"Census Tract 4172, Allegheny County, Pennsylvania",108
42003418000,"Census Tract 4180, Allegheny County, Pennsylvania",79
42003419000,"Census Tract 4190, Allegheny County, Pennsylvania",110
42003420000,"Census Tract 4200, Allegheny County, Pennsylvania",171
42003421100,"Census Tract 4211, Allegheny County, Pennsylvania",39
42003421200,"Census Tract 4212, Allegheny County, Pennsylvania",107
42003422000,"Census Tract 4220, Allegheny County, Pennsylvania",10
42003423000,"Census Tract 4230, Allegheny County, Pennsylvania",77
42003424000,"Census Tract 4240, Allegheny County, Pennsylvania",450
42003425000,"Census Tract 4250, Allegheny County, Pennsylvania",382
42003426300,"Census Tract 4263, Allegheny County, Pennsylvania",108
42003426400,"Census Tract 4264, Allegheny County, Pennsylvania",89
42003426700,"Census Tract 4267, Allegheny County, Pennsylvania",37
42003426800,"Census Tract 4268, Allegheny County, Pennsylvania",14
42003427000,"Census Tract 4270, Allegheny County, Pennsylvania",311
42003427100,"Census Tract 4271, Allegheny County, Pennsylvania",17
42003427200,"Census Tract 4272, Allegheny County, Pennsylvania",166
42003428100,"Census Tract 4281, Allegheny County, Pennsylvania",6
42003428200,"Census Tract 4282, Allegheny County, Pennsylvania",89
42003429100,"Census Tract 4291, Allegheny County, Pennsylvania",34
42003429201,"Census Tract 4292.01, Allegheny County, Pennsylvania",70
42003429202,"Census Tract 4292.02, Allegheny County, Pennsylvania",25
42003429300,"Census Tract 4293, Allegheny County, Pennsylvania",69
42003429400,"Census Tract 4294, Allegheny County, Pennsylvania",131
42003429500,"Census Tract 4295, Allegheny County, Pennsylvania",360
42003429600,"Census Tract 4296, Allegheny County, Pennsylvania",98
42003429700,"Census Tract 4297, Allegheny County, Pennsylvania",139
42003430100,"Census Tract 4301, Allegheny County, Pennsylvania",77
42003430200,"Census Tract 4302, Allegheny County, Pennsylvania",119
42003431100,"Census Tract 4311, Allegheny County, Pennsylvania",180
42003431400,"Census Tract 4314, Allegheny County, Pennsylvania",49
42003431500,"Census Tract 4315, Allegheny County, Pennsylvania",209
42003432300,"Census Tract 4323, Allegheny County, Pennsylvania",217
42003432400,"Census Tract 4324, Allegheny County, Pennsylvania",221
42003434000,"Census Tract 4340, Allegheny County, Pennsylvania",38
42003435000,"Census Tract 4350, Allegheny County, Pennsylvania",121
42003437000,"Census Tract 4370, Allegheny County, Pennsylvania",47
42003439000,"Census Tract 4390, Allegheny County, Pennsylvania",39
42003445500,"Census Tract 4455, Allegheny County, Pennsylvania",82
42003446000,"Census Tract 4460, Allegheny County, Pennsylvania",15
42003447000,"Census Tract 4470, Allegheny County, Pennsylvania",18
42003448000,"Census Tract 4480, Allegheny County, Pennsylvania",63
42003449000,"Census Tract 4490, Allegheny County, Pennsylvania",138
42003450700,"Census Tract 4507, Allegheny County, Pennsylvania",184
42003450800,"Census Tract 4508, Allegheny County, Pennsylvania",180
42003451101,"Census Tract 4511.01, Allegheny County, Pennsylvania",57
42003451102,"Census Tract 4511.02, Allegheny County, Pennsylvania",72
42003451104,"Census Tract 4511.04, Allegheny County, Pennsylvania",0
42003451105,"Census Tract 4511.05, Allegheny County, Pennsylvania",39
42003451300,"Census Tract 4513, Allegheny County, Pennsylvania",128
42003452000,"Census Tract 4520, Allegheny County, Pennsylvania",249
42003453003,"Census Tract 4530.03, Allegheny County, Pennsylvania",26
42003453004,"Census Tract 4530.04, Allegheny County, Pennsylvania",171
42003455000,"Census Tract 4550, Allegheny County, Pennsylvania",52
42003456001,"Census Tract 4560.01, Allegheny County, Pennsylvania",68
42003456003,"Census Tract 4560.03, Allegheny County, Pennsylvania",67
42003456004,"Census Tract 4560.04, Allegheny County, Pennsylvania",125
42003457100,"Census Tract 4571, Allegheny County, Pennsylvania",135
42003457200,"Census Tract 4572, Allegheny County, Pennsylvania",103
42003458001,"Census Tract 4580.01, Allegheny County, Pennsylvania",47
42003458002,"Census Tract 4580.02, Allegheny County, Pennsylvania",72
42003459101,"Census Tract 4591.01, Allegheny County, Pennsylvania",55
42003459102,"Census Tract 4591.02, Allegheny County, Pennsylvania",46
42003459201,"Census Tract 4592.01, Allegheny County, Pennsylvania",79
42003459202,"Census Tract 4592.02, Allegheny County, Pennsylvania",21
42003460001,"Census Tract 4600.01, Allegheny County, Pennsylvania",181
42003460002,"Census Tract 4600.02, Allegheny County, Pennsylvania",28
42003461000,"Census Tract 4610, Allegheny County, Pennsylvania",51
42003462100,"Census Tract 4621, Allegheny County, Pennsylvania",351
42003462600,"Census Tract 4626, Allegheny County, Pennsylvania",649
42003463900,"Census Tract 4639, Allegheny County, Pennsylvania",527
42003464300,"Census Tract 4643, Allegheny County, Pennsylvania",139
42003464400,"Census Tract 4644, Allegheny County, Pennsylvania",731
42003465600,"Census Tract 4656, Allegheny County, Pennsylvania",304
42003465800,"Census Tract 4658, Allegheny County, Pennsylvania",74
42003468700,"Census Tract 4687, Allegheny County, Pennsylvania",90
42003468800,"Census Tract 4688, Allegheny County, Pennsylvania",235
42003468900,"Census Tract 4689, Allegheny County, Pennsylvania",294
42003469000,"Census Tract 4690, Allegheny County, Pennsylvania",115
42003470300,"Census Tract 4703, Allegheny County, Pennsylvania",99
42003470400,"Census Tract 4704, Allegheny County, Pennsylvania",24
42003470501,"Census Tract 4705.01, Allegheny County, Pennsylvania",39
42003470502,"Census Tract 4705.02, Allegheny County, Pennsylvania",17
42003470600,"Census Tract 4706, Allegheny County, Pennsylvania",53
42003471000,"Census Tract 4710, Allegheny County, Pennsylvania",65
42003472100,"Census Tract 4721, Allegheny County, Pennsylvania",45
42003472200,"Census Tract 4722, Allegheny County, Pennsylvania",55
42003472300,"Census Tract 4723, Allegheny County, Pennsylvania",60
42003472400,"Census Tract 4724, Allegheny County, Pennsylvania",60
42003473100,"Census Tract 4731, Allegheny County, Pennsylvania",149
42003473200,"Census Tract 4732, Allegheny County, Pennsylvania",129
42003473300,"Census Tract 4733, Allegheny County, Pennsylvania",98
42003473401,"Census Tract 4734.01, Allegheny County, Pennsylvania",42
42003473402,"Census Tract 4734.02, Allegheny County, Pennsylvania",123
42003473500,"Census Tract 4735, Allegheny County, Pennsylvania",19
42003473601,"Census Tract 4736.01, Allegheny County, Pennsylvania",11
42003473602,"Census Tract 4736.02, Allegheny County, Pennsylvania",41
42003474101,"Census Tract 4741.01, Allegheny County, Pennsylvania",152
42003474102,"Census Tract 4741.02, Allegheny County, Pennsylvania",9
42003474201,"Census Tract 4742.01, Allegheny County, Pennsylvania",3
42003474202,"Census Tract 4742.02, Allegheny County, Pennsylvania",60
42003474203,"Census Tract 4742.03, Allegheny County, Pennsylvania",0
42003475101,"Census Tract 4751.01, Allegheny County, Pennsylvania",159
42003475102,"Census Tract 4751.02, Allegheny County, Pennsylvania",6
42003475200,"Census Tract 4752, Allegheny County, Pennsylvania",79
42003475301,"Census Tract 4753.01, Allegheny County, Pennsylvania",135
42003475303,"Census Tract 4753.03, Allegheny County, Pennsylvania",13
42003475304,"Census Tract 4753.04, Allegheny County, Pennsylvania",45
42003475401,"Census Tract 4754.01, Allegheny County, Pennsylvania",34
42003475402,"Census Tract 4754.02, Allegheny County, Pennsylvania",146
42003476100,"Census Tract 4761, Allegheny County, Pennsylvania",385
42003476200,"Census Tract 4762, Allegheny County, Pennsylvania",59
42003477100,"Census Tract 4771, Allegheny County, Pennsylvania",39
42003477200,"Census Tract 4772, Allegheny County, Pennsylvania",25
42003477300,"Census Tract 4773, Allegheny County, Pennsylvania",575
42003478100,"Census Tract 4781, Allegheny County, Pennsylvania",341
42003478200,"Census Tract 4782, Allegheny County, Pennsylvania",606
42003479000,"Census Tract 4790, Allegheny County, Pennsylvania",97
42003480101,"Census Tract 4801.01, Allegheny County, Pennsylvania",400
42003480102,"Census Tract 4801.02, Allegheny County, Pennsylvania",73
42003480200,"Census Tract 4802, Allegheny County, Pennsylvania",56
42003480300,"Census Tract 4803, Allegheny County, Pennsylvania",184
42003480400,"Census Tract 4804, Allegheny County, Pennsylvania",286
42003481000,"Census Tract 4810, Allegheny County, Pennsylvania",639
42003482500,"Census Tract 4825, Allegheny County, Pennsylvania",100
42003483800,"Census Tract 4838, Allegheny County, Pennsylvania",376
42003484300,"Census Tract 4843, Allegheny County, Pennsylvania",357
42003484500,"Census Tract 4845, Allegheny County, Pennsylvania",244
42003484600,"Census Tract 4846, Allegheny County, Pennsylvania",311
42003485000,"Census Tract 4850, Allegheny County, Pennsylvania",113
42003486700,"Census Tract 4867, Allegheny County, Pennsylvania",410
42003486800,"Census Tract 4868, Allegheny County, Pennsylvania",189
42003486900,"Census Tract 4869, Allegheny County, Pennsylvania",276
42003487000,"Census Tract 4870, Allegheny County, Pennsylvania",116
42003488100,"Census Tract 4881, Allegheny County, Pennsylvania",129
42003488200,"Census Tract 4882, Allegheny County, Pennsylvania",252
42003488300,"Census Tract 4883, Allegheny County, Pennsylvania",103
42003488400,"Census Tract 4884, Allegheny County, Pennsylvania",244
42003488500,"Census Tract 4885, Allegheny County, Pennsylvania",201
42003488600,"Census Tract 4886, Allegheny County, Pennsylvania",364
42003489001,"Census Tract 4890.01, Allegheny County, Pennsylvania",120
42003489002,"Census Tract 4890.02, Allegheny County, Pennsylvania",75
42003490002,"Census Tract 4900.02, Allegheny County, Pennsylvania",159
42003490003,"Census Tract 4900.03, Allegheny County, Pennsylvania",105
42003490004,"Census Tract 4900.04, Allegheny County, Pennsylvania",57
42003491101,"Census Tract 4911.01, Allegheny County, Pennsylvania",43
42003491200,"Census Tract 4912, Allegheny County, Pennsylvania",49
42003492700,"Census Tract 4927, Allegheny County, Pennsylvania",305
42003492800,"Census Tract 4928, Allegheny County, Pennsylvania",327
42003492900,"Census Tract 4929, Allegheny County, Pennsylvania",307
42003494000,"Census Tract 4940, Allegheny County, Pennsylvania",136
42003495000,"Census Tract 4950, Allegheny County, Pennsylvania",295
42003496101,"Census Tract 4961.01, Allegheny County, Pennsylvania",60
42003496102,"Census Tract 4961.02, Allegheny County, Pennsylvania",99
42003496200,"Census Tract 4962, Allegheny County, Pennsylvania",118
42003497000,"Census Tract 4970, Allegheny County, Pennsylvania",35
42003498000,"Census Tract 4980, Allegheny County, Pennsylvania",162
42003499300,"Census Tract 4993, Allegheny County, Pennsylvania",177
42003499400,"Census Tract 4994, Allegheny County, Pennsylvania",254
42003500300,"Census Tract 5003, Allegheny County, Pennsylvania",228
42003501000,"Census Tract 5010, Allegheny County, Pennsylvania",163
42003503002,"Census Tract 5030.02, Allegheny County, Pennsylvania",356
42003504100,"Census Tract 5041, Allegheny County, Pennsylvania",697
42003507000,"Census Tract 5070, Allegheny County, Pennsylvania",246
42003508000,"Census Tract 5080, Allegheny County, Pennsylvania",420
42003509400,"Census Tract 5094, Allegheny County, Pennsylvania",650
42003510000,"Census Tract 5100, Allegheny County, Pennsylvania",343
42003512000,"Census Tract 5120, Allegheny County, Pennsylvania",173
42003513000,"Census Tract 5130, Allegheny County, Pennsylvania",482
42003513800,"Census Tract 5138, Allegheny County, Pennsylvania",322
42003514000,"Census Tract 5140, Allegheny County, Pennsylvania",360
42003515100,"Census Tract 5151, Allegheny County, Pennsylvania",199
42003515200,"Census Tract 5152, Allegheny County, Pennsylvania",78
42003515300,"Census Tract 5153, Allegheny County, Pennsylvania",196
42003515401,"Census Tract 5154.01, Allegheny County, Pennsylvania",41
42003516100,"Census Tract 5161, Allegheny County, Pennsylvania",14
42003516200,"Census Tract 5162, Allegheny County, Pennsylvania",34
42003517000,"Census Tract 5170, Allegheny County, Pennsylvania",359
42003518001,"Census Tract 5180.01, Allegheny County, Pennsylvania",69
42003519000,"Census Tract 5190, Allegheny County, Pennsylvania",28
42003520001,"Census Tract 5200.01, Allegheny County, Pennsylvania",162
42003520002,"Census Tract 5200.02, Allegheny County, Pennsylvania",156
42003521100,"Census Tract 5211, Allegheny County, Pennsylvania",120
42003521200,"Census Tract 5212, Allegheny County, Pennsylvania",177
42003521301,"Census Tract 5213.01, Allegheny County, Pennsylvania",399
42003521302,"Census Tract 5213.02, Allegheny County, Pennsylvania",322
42003521401,"Census Tract 5214.01, Allegheny County, Pennsylvania",99
42003521402,"Census Tract 5214.02, Allegheny County, Pennsylvania",33
42003521500,"Census Tract 5215, Allegheny County, Pennsylvania",157
42003522000,"Census Tract 5220, Allegheny County, Pennsylvania",527
42003523100,"Census Tract 5231, Allegheny County, Pennsylvania",215
42003523200,"Census Tract 5232, Allegheny County, Pennsylvania",462
42003523300,"Census Tract 5233, Allegheny County, Pennsylvania",120
42003523400,"Census Tract 5234, Allegheny County, Pennsylvania",369
42003523501,"Census Tract 5235.01, Allegheny County, Pennsylvania",149
42003523502,"Census Tract 5235.02, Allegheny County, Pennsylvania",187
42003523600,"Census Tract 5236, Allegheny County, Pennsylvania",176
42003523701,"Census Tract 5237.01, Allegheny County, Pennsylvania",91
42003523702,"Census Tract 5237.02, Allegheny County, Pennsylvania",381
42003523800,"Census Tract 5238, Allegheny County, Pennsylvania",288
42003524000,"Census Tract 5240, Allegheny County, Pennsylvania",339
42003525100,"Census Tract 5251, Allegheny County, Pennsylvania",61
42003525200,"Census Tract 5252, Allegheny County, Pennsylvania",77
42003525300,"Census Tract 5253, Allegheny County, Pennsylvania",44
42003526101,"Census Tract 5261.01, Allegheny County, Pennsylvania",57
42003526102,"Census Tract 5261.02, Allegheny County, Pennsylvania",37
42003526201,"Census Tract 5262.01, Allegheny County, Pennsylvania",48
42003526202,"Census Tract 5262.02, Allegheny County, Pennsylvania",190
42003526301,"Census Tract 5263.01, Allegheny County, Pennsylvania",29
42003526302,"Census Tract 5263.02, Allegheny County, Pennsylvania",51
42003550900,"Census Tract 5509, Allegheny County, Pennsylvania",248
42003551200,"Census Tract 5512, Allegheny County, Pennsylvania",550
42003551300,"Census Tract 5513, Allegheny County, Pennsylvania",148
42003551900,"Census Tract 5519, Allegheny County, Pennsylvania",524
42003552000,"Census Tract 5520, Allegheny County, Pennsylvania",370
42003552100,"Census Tract 5521, Allegheny County, Pennsylvania",326
42003552200,"Census Tract 5522, Allegheny County, Pennsylvania",170
42003552300,"Census Tract 5523, Allegheny County, Pennsylvania",356
42003552400,"Census Tract 5524, Allegheny County, Pennsylvania",469
42003560400,"Census Tract 5604, Allegheny County, Pennsylvania",141
42003560500,"Census Tract 5605, Allegheny County, Pennsylvania",63
42003561400,"Census Tract 5614, Allegheny County, Pennsylvania",581
42003561500,"Census Tract 5615, Allegheny County, Pennsylvania",483
42003561900,"Census Tract 5619, Allegheny County, Pennsylvania",327
42003562000,"Census Tract 5620, Allegheny County, Pennsylvania",292
42003562300,"Census Tract 5623, Allegheny County, Pennsylvania",526
42003562400,"Census Tract 5624, Allegheny County, Pennsylvania",324
42003562500,"Census Tract 5625, Allegheny County, Pennsylvania",314
42003562600,"Census Tract 5626, Allegheny County, Pennsylvania",369
42003562700,"Census Tract 5627, Allegheny County, Pennsylvania",181
42003562800,"Census Tract 5628, Allegheny County, Pennsylvania",129
42003562901,"Census Tract 5629.01, Allegheny County, Pennsylvania",147
42003563000,"Census Tract 5630, Allegheny County, Pennsylvania",175
42003563100,"Census Tract 5631, Allegheny County, Pennsylvania",172
42003563201,"Census Tract 5632.01, Allegheny County, Pennsylvania",0
42003563202,"Census Tract 5632.02, Allegheny County, Pennsylvania",323
42003563300,"Census Tract 5633, Allegheny County, Pennsylvania",5
42003563800,"Census Tract 5638, Allegheny County, Pennsylvania",53
42003563900,"Census Tract 5639, Allegheny County, Pennsylvania",158
42003564000,"Census Tract 5640, Allegheny County, Pennsylvania",28
42003564100,"Census Tract 5641, Allegheny County, Pennsylvania",1
42003564200,"Census Tract 5642, Allegheny County, Pennsylvania",19
42003564400,"Census Tract 5644, Allegheny County, Pennsylvania",218
42003564500,"Census Tract 5645, Allegheny County, Pennsylvania",134
42003564700,"Census Tract 5647, Allegheny County, Pennsylvania",601
42003564800,"Census Tract 5648, Allegheny County, Pennsylvania",356
42003565100,"Census Tract 5651, Allegheny County, Pennsylvania",403
42003565200,"Census Tract 5652, Allegheny County, Pennsylvania",381
42003565300,"Census Tract 5653, Allegheny County, Pennsylvania",104
42003980000,"Census Tract 9800, Allegheny County, Pennsylvania",0
42003980100,"Census Tract 9801, Allegheny County, Pennsylvania",0
42003980300,"Census Tract 9803, Allegheny County, Pennsylvania",0
42003980400,"Census Tract 9804, Allegheny County, Pennsylvania",0
42003980500,"Census Tract 9805, Allegheny County, Pennsylvania",0
42003980600,"Census Tract 9806, Allegheny County, Pennsylvania",0
42003980700,"Census Tract 9807, Allegheny County, Pennsylvania",0
42003980800,"Census Tract 9808, Allegheny County, Pennsylvania",0
42003980900,"Census Tract 9809, Allegheny County, Pennsylvania",0
42003981000,"Census Tract 9810, Allegheny County, Pennsylvania",0
42003981100,"Census Tract 9811, Allegheny County, Pennsylvania",0
42003981200,"Census Tract 9812, Allegheny County, Pennsylvania",0
42003981800,"Census Tract 9818, Allegheny County, Pennsylvania",0
42003982200,"Census Tract 9822, Allegheny County, Pennsylvania",5
